timestamp, index, power.draw [W]
2026/09/08 05:37:13.905, 0, 88.89 W
2026/09/08 05:37:14.005, 0, 88.89 W
2026/09/08 05:37:14.106, 0, 88.89 W
2026/09/08 05:37:14.206, 0, 88.89 W
2026/09/08 05:37:14.306, 0, 88.97 W
2026/09/08 05:37:14.406, 0, 88.97 W
2026/09/08 05:37:14.506, 0, 88.97 W
2026/09/08 05:37:14.606, 0, 88.97 W
2026/09/08 05:37:14.706, 0, 88.97 W
2026/09/08 05:37:14.806, 0, 88.97 W
2026/09/08 05:37:14.906, 0, 88.97 W
2026/09/08 05:37:15.007, 0, 88.97 W
2026/09/08 05:37:15.107, 0, 88.97 W
2026/09/08 05:37:15.207, 0, 88.97 W
2026/09/08 05:37:15.307, 0, 88.95 W
2026/09/08 05:37:15.407, 0, 88.95 W
2026/09/08 05:37:15.507, 0, 88.95 W
2026/09/08 05:37:15.607, 0, 88.95 W
2026/09/08 05:37:15.707, 0, 88.95 W
2026/09/08 05:37:15.808, 0, 88.96 W
2026/09/08 05:37:15.908, 0, 88.96 W
2026/09/08 05:37:16.008, 0, 88.96 W
2026/09/08 05:37:16.108, 0, 88.96 W
2026/09/08 05:37:16.208, 0, 93.28 W
2026/09/08 05:37:16.308, 0, 93.28 W
2026/09/08 05:37:16.408, 0, 93.28 W
2026/09/08 05:37:16.509, 0, 93.28 W
2026/09/08 05:37:16.609, 0, 93.28 W
2026/09/08 05:37:16.709, 0, 93.56 W
2026/09/08 05:37:16.809, 0, 93.56 W
2026/09/08 05:37:16.909, 0, 93.56 W
2026/09/08 05:37:17.009, 0, 93.56 W
2026/09/08 05:37:17.109, 0, 93.56 W
2026/09/08 05:37:17.210, 0, 94.46 W
2026/09/08 05:37:17.310, 0, 94.46 W
2026/09/08 05:37:17.410, 0, 94.46 W
2026/09/08 05:37:17.510, 0, 94.46 W
2026/09/08 05:37:17.610, 0, 94.46 W
2026/09/08 05:37:17.710, 0, 99.82 W
2026/09/08 05:37:17.810, 0, 99.82 W
2026/09/08 05:37:17.911, 0, 99.82 W
2026/09/08 05:37:18.011, 0, 99.82 W
2026/09/08 05:37:18.111, 0, 99.82 W
2026/09/08 05:37:18.211, 0, 104.16 W
2026/09/08 05:37:18.311, 0, 104.16 W
2026/09/08 05:37:18.411, 0, 104.16 W
2026/09/08 05:37:18.512, 0, 104.16 W
2026/09/08 05:37:18.612, 0, 104.16 W
2026/09/08 05:37:18.712, 0, 98.32 W
2026/09/08 05:37:18.812, 0, 98.32 W
2026/09/08 05:37:18.912, 0, 98.32 W
2026/09/08 05:37:19.012, 0, 98.32 W
2026/09/08 05:37:19.113, 0, 98.32 W
2026/09/08 05:37:19.213, 0, 104.99 W
2026/09/08 05:37:19.313, 0, 104.99 W
2026/09/08 05:37:19.413, 0, 104.99 W
2026/09/08 05:37:19.513, 0, 104.99 W
2026/09/08 05:37:19.613, 0, 104.99 W
2026/09/08 05:37:19.714, 0, 115.87 W
2026/09/08 05:37:19.814, 0, 115.87 W
2026/09/08 05:37:19.914, 0, 115.87 W
2026/09/08 05:37:20.014, 0, 115.87 W
2026/09/08 05:37:20.114, 0, 115.87 W
2026/09/08 05:37:20.214, 0, 120.48 W
2026/09/08 05:37:20.314, 0, 120.48 W
2026/09/08 05:37:20.414, 0, 120.48 W
2026/09/08 05:37:20.515, 0, 120.48 W
2026/09/08 05:37:20.615, 0, 120.48 W
